uuid,type,site_url,domain_rank,title,text,spam_score,replies_count,participants_count,likes,comments,shares
"6a175f46bcd24d39b3e962ad0f29936721db70db","bias","100percentfedup.com",25689.0,"muslims busted stole millions gov t benefits","print pay back money plus interest entire family everyone came need deported asap take two years bust go another group stealing government taxpayers group somalis stole four million government benefits 10 months ve reported numerous cases like one muslim refugees immigrants commit fraud scamming system s way control related",0.0,0,1,0,0,0
"2bdc29d12605ef9cf3f09f9875040a7113be5d5b","bias","100percentfedup.com",25689.0,"re attorney general loretta lynch plead fifth","attorney general loretta lynch plead fifth barracuda brigade 2016 10 28 print administration blocking congressional probe cash payments iran course needs plead 5th either t recall refuses answer plain deflects question straight corruption finest 100percentfedup com talk covering ass loretta lynch plead fifth avoid incriminating payments iran corrupt core attorney general loretta lynch declining comply investigation leading members congress obama administration s secret efforts send iran 1 7 billion cash earlier year prompting accusations lynch pleaded fifth amendment avoid incriminating payments according lawmakers communications exclusively obtained washington free beacon sen marco rubio r fla rep mike pompeo r kan initially presented lynch october series questions cash payment iran approved delivered oct 24 response assistant attorney general peter kadzik responded lynch s behalf refusing answer questions informing lawmakers barred publicly disclosing details cash payment bound ransom deal aimed freeing several american hostages iran response attorney general s office unacceptable provides evidence lynch chosen essentially plead fifth refuse respond inquiries regarding role providing cash world s foremost state sponsor terrorism rubio pompeo wrote friday follow letter lynch related",0.0,0,1,0,0,0
"c70e149fdd53de5e61c29281100b9de0ed268bc3","bias","100percentfedup.com",25689.0,"breaking weiner cooperating fbi hillary email investigation","red state fox news sunday reported morning anthony weiner cooperating fbi re opened yes lefties re opened investigation hillary clinton s classified emails watch chris wallace reports breaking news panel segment near end show news breaking re air colleague bret baier sent us e mail saying two sources say anthony weiner also co ownership laptop estranged wife huma abedin cooperating fbi investigation given laptop therefore didn t need warrant get see contents said laptop pretty interesting development targets federal investigations will often cooperate hoping will get consideration judge sentencing given weiner s well known penchant lying s hard believe prosecutor give weiner deal based agreement testify unless testimony strongly corroborated hard evidence cooperation take many forms wallace indicated morning s show one forms signing consent form allow contents devices probably get warrant anyway ll see weiner s cooperation extends beyond related",0.0,0,1,0,0,0
"7cf7c15731ac2a116dd7f629bd57ea468ed70284","bias","100percentfedup.com",25689.0,"pin drop speech father daughter kidnapped killed isis voted donald j trump 100percentfedup com","email kayla mueller prisoner tortured isis chance release horrific story father gave pin drop speech heartfelt want give hug carl mueller believes donald trump will great president epic speech 9 0k shares",0.068,0,0,0,0,0
"0206b54719c7e241ffe0ad4315b808290dbe6c0f","bias","100percentfedup.com",25689.0,"fantastic trump's 7 point plan reform healthcare begins bombshell 100percentfedup com","email healthcare reform make america great since march 2010 american people suffer incredible economic burden affordable care act obamacare legislation passed totally partisan votes house senate signed law divisive partisan president american history tragically predictably resulted runaway costs websites don t work greater rationing care higher premiums less competition fewer choices obamacare raised economic uncertainty every single person residing country appears obamacare certain collapse weight damage done democrats president obama abetted supreme court will difficult repair unless next president republican congress lead effort bring much needed free market reforms healthcare industry congress must act elected representatives house senate must 1 completely repeal obamacare elected representatives must eliminate individual mandate person required buy insurance unless wants 2 modify existing law inhibits sale health insurance across state lines long plan purchased complies state requirements vendor able offer insurance state allowing full competition market insurance costs will go consumer satisfaction will go 3 allow individuals fully deduct health insurance premium payments tax returns current tax system businesses allowed take deductions wouldn t congress allow individuals exemptions allow free market provide insurance coverage opportunities companies individuals must also make sure one slips cracks simply cannot afford insurance must review basic options medicaid work states ensure want healthcare coverage trending 100 fed",0.865,0,0,0,0,0
"8f30f5ea14c9d5914a9fe4f55ab2581772af4c31","bias","100percentfedup.com",25689.0,"hillary goes absolutely berserk protester rally video","print hillary goes absolutely berserk explodes bill rapist protester rally oh irony enabler bill s escapades s projecting pathetic dragging integrity challenged alicia machado stage yesterday sad little rally florida tgp democratic party presidential nominee hillary clinton angrily reacted protester shouting bill clinton rapist campaign rally fort lauderdale florida tuesday night saying sick tired negative dark divisive dangerous vision behavior people support donald trump according reports protester interrupts hillary clinton shouting bill clinton rapist clinton fires right back sick tired negative pic twitter com yncdks90bg josh haskell joshbhaskell november 2 2016 man interrupts hillaryclinton yelling bill clinton rapist responds she's tired divisive distractions nbc6 pic twitter com 2gpjps1eqb jamie guirola jamienbc6 november 2 2016 here's hillary absolutely going bezerk protester starts screaming shouting yelling full rails pic twitter com j11qi5jjto john binder jxhnbinder november 2 2016 related",0.0,0,1,0,0,0
"d3cc0fe38f41a59f7c48f8c3528ca5f74193148f","bias","100percentfedup.com",25689.0,"breaking nypd ready make arrests weiner case hillary visited pedophile island least 6 times money laundering underage sex pay play proof inappropriate handling classified information 100percentfedup com","breaking nypd ready make arrests weiner case hillary visited pedophile island least 6 times money laundering underage sex pay play proof inappropriate handling classified information blackwater usa founder retired navy seal erik prince prince claimed insider knowledge investigation help explain fbi director james comey announce reopening investigation clinton s email server last week weinergate sexting scandal nypd started investigating subpoena warrant searched laptop sure enough found 650 000 emails found way stuff information pertaining inappropriate sexting guy prince claimed found state department emails found lot really damning criminal information including money laundering including fact hillary went sex island convicted pedophile jeffrey epstein bill clinton went 20 times hillary clinton went least six times said amount garbage found emails criminal activity hillary immediate circle even democratic members congress disgusting gave fbi said re going go public don t reopen investigation don t right thing timely indictments prince explained believe know well placed source mine 1pp one police plaza new york nypd wanted press conference announcing warrants additional arrests making investigation ve gotten huge pushback point coercion justice department justice department threatening charge someone unrelated accidental heart attack death eric garner almost two years ago s level pushback obama justice department actually seeking justice email related criminal matters prince said s five different parts fbi conducting investigations things constant downdrafts obama justice department hope unlikely unfortunate event hillary clinton elected president will constitutional crisis seen since believe 1860 prince declared marlow asked prince clarify revelations nypd first one look laptop prince elaborated weiner huma abedin wife closest adviser hillary clinton 20 years flipped cooperating government see potential jail time many years crimes huma abedin sending receiving even storing hundreds thousands messages state department server hillary clinton s homebrew server contained classified information weiner faces kinds exposure inappropriate sexting going information found nypd first gets computer see disgusting keep copy everything pass copy fbi finally pushes fbi chairs making comey reopen investigation indicated letter last week point nypd information will pursue justice within rights fbi doesn t prince contended kinds criminal culpability emails ve seen 650 000 including money laundering underage sex pay play course plenty proof inappropriate handling sending receiving classified information sap level special access programs stated plot thickens nypd pushing article quoted one chiefs s level commissioner said parent father daughters let level evil continue prince said noted fbi investigate matters t convene grand jury t file charges prosecutors justice department explained understand preet bharara manhattan prosecutor gotten ahold hear s stand guy hopefully right thing marlow agreed bharara s sterling reputation determined prosecutor bad news clintons prince agreed said people willing bend break law don t really care constitution due process re willing use stalinist tactics someone knows level pressure brought bear even tenacious law enforcement officials listen interview point fortunately s fbi five different offices hunt justice nypd well prince said citing wall street journal reporting exposed downdraft back pressure justice department fbi nypd effort keep sunlight disinfecting effects truth transparency shining great evil gone slowly exposed justice department trying run clock elect hillary clinton prevent real justice done warned mayor new york city prince said heard de blasio wants stay away evidence bad email content bad think even wants stay away really telling said entire story breitbart news 14 7k shares",0.701,0,0,0,0,0
"b4bbf8b5c19e8864f5257832a58b81ef4ed2d4e4","bias","100percentfedup.com",25689.0,"wow whistleblower tells chilling story massive voter fraud trump campaign readies lawsuit fl sec elections critical district video 100percentfedup com","breaking nypd ready make arrests weiner case hillary visited pedophile island least 6 times money laundering underage sex pay play proof inappropriate handling classified information amazing citizen journalist mike cernovich broke story morning danger play florida residents complaining re getting absentee ballots chelsey marie smith working full time broward county supervisor elections main office blew whistle voter fraud scheme live periscope breaking news voting fraud uncovered florida maga3x https t co q7jeez6rgh mike cernovich cernovich november 4 2016 florida state attorney actively investigating fraud case involves secretary elections brenda snipes source fl state attorney investigators actively reviewing broward county voter fraud case jack posobiec jackposobiec november 4 2016 democrat dr brenda snipes appointed jeb bush 2003 stranger controversy october 20 sun sentinal reported former oakland park commissioner anne sallee noticed something troubling vote mail ballot missing constitutional amendment 2 medical marijuana question sallee broward chapter director florida restaurant lodging association knows way around government yet said spent week unsuccessfully trying get someone broward elections office pay attention complaint cleared wednesday another election snafu early posting primary election results office also criticized sending inaccurate voter id cards printing ballots november include word yes line county s transportation sales surtax question multiple reports hillary personally met brenda snipes days ago multiple reports hillary personally met brenda snipes days ago photos there's smoke jack posobiec jackposobiec november 4 2016 according former secretary elections department employee secret room democrat insiders fill absentee ballots woman provided sworn testimony via affidavit affidavit chelsey marie smith accuses broward county officials filling blank absentee ballots officials saw filling ballots supervisor elections headquarters via gp page 1",0.188,0,0,0,0,0
"a19aabaa5a61eb8bc22fadaaa003e5fbba5c4bf6","bias","100percentfedup.com",25689.0,"breaking clinton cleared coordinated last minute trick energize hillary's base 100percentfedup com","limbaugh said revelations wikileaks material starting hurt clintons renewed interest fbi investigation private email server fruitless distraction case s time drain swamp fbi director james comey said sunday agency reviewed hillary clinton emails recently discovered unrelated case conclusion july prosecute clinton fbi s original investigation use private email server still stands comey informed congress oct 28 agency unrelated case review additional emails related clinton s time running state department 2009 2013 since letter fbi investigative team working around clock process review large volume emails comey said sunday follow letter congress time reviewed communications hilary clinton secretary state based review changed conclusion new case purportedly related ex new york democratic rep anthony weiner using laptop shared estranged wife top clinton aide huma abedin sexting apparently underage female",0.144,0,0,0,0,0
"f54d8e13010d0a79893995ee65360ad4b38b5a35","bias","100percentfedup.com",25689.0,"evil hillary supporters yell f ck trump burn truck daddy fishing 2 yr son trump bumper stickers video 100percentfedup com","email people sick evil will stop nothing get way laws mean nothing mean nothing president regime california man says stranger hurled expletives set truck fire thursday seeing pro donald trump sticker bumper hao lee taken 2 year old son fishing pleasant november afternoon sacramento parked white dodge ram truck pair trump stickers bumper along garden highway couple hours fishing heard someone yelling f trump lee told ktxl lee son 50 yards truck parked near edge river trending 100 fed",0.995,0,0,0,0,0
